"Date","Number of Sales"
"2020-02-20",4188454
"2020-02-21",4194658
"2020-02-22",4201243
"2020-02-23",4208197
"2020-02-24",4215085
"2020-02-25",4220506
"2020-02-26",4225900
"2020-02-27",4232427
"2020-02-28",4239719
"2020-02-29",4249350
"2020-03-01",4257586
"2020-03-02",4269420
"2020-03-03",4274610
"2020-03-04",4279670
"2020-03-05",4284350
"2020-03-06",4289499
"2020-03-07",4296847
"2020-03-08",4301189
"2020-03-09",4304749
"2020-03-10",4310779
"2020-03-11",4319387
"2020-03-12",4322877
"2020-03-13",4325353
"2020-03-14",4330552
"2020-03-15",4336548
"2020-03-16",4342821
"2020-03-17",4350270
"2020-03-18",4359970
"2020-03-19",4366451
"2020-03-20",4372212
"2020-03-21",4378551
"2020-03-22",4384279
"2020-03-23",4389429
"2020-03-24",4393484
"2020-03-25",4397021
"2020-03-26",4402889
"2020-03-27",4408104
"2020-03-28",4416882
"2020-03-29",4422742
"2020-03-30",4428012
"2020-03-31",4445139
"2020-04-01",4452069
"2020-04-02",4456119
"2020-04-03",4463507
"2020-04-04",4474438
"2020-04-05",4480475
"2020-04-06",4487572
"2020-04-07",4491877
"2020-04-08",4495684
"2020-04-09",4499970
"2020-04-10",4504609
"2020-04-11",4512415
"2020-04-12",4519609
"2020-04-13",4525194
"2020-04-14",4534239
"2020-04-15",4539565
"2020-04-16",4543144
"2020-04-17",4547501
"2020-04-18",4552593
"2020-04-19",4557978
"2020-04-20",4561364
"2020-04-21",4565628
"2020-04-22",4569523
"2020-04-23",4573565
"2020-04-24",4577067
"2020-04-25",4581946
"2020-04-26",4586576
"2020-04-27",4591262
"2020-04-28",4595591
"2020-04-29",4598458
"2020-04-30",4600817
"2020-05-01",4604962
"2020-05-02",4608898
"2020-05-03",4613970
"2020-05-04",4617197
"2020-05-05",4620089
"2020-05-06",4622428
"2020-05-07",4624414
"2020-05-08",4627015
"2020-05-09",4630322
"2020-05-10",4632872
"2020-05-11",4635480
"2020-05-12",4637934
"2020-05-13",4640285
