"Date","Primary Sales USD"
"2019-01-02",37393325.22
"2019-01-03",37402195.02
"2019-01-04",37412994.75
"2019-01-05",37418166.64
"2019-01-06",38117640.66
"2019-01-07",38126618.27
"2019-01-08",38132821.86
"2019-01-09",38138049.54
"2019-01-10",38146935.49
"2019-01-11",38160177.93
"2019-01-12",38170352.32
"2019-01-13",38179388.74
"2019-01-14",38190125.93
"2019-01-15",38197171.73
"2019-01-16",38205377.57
"2019-01-17",38211697.19
"2019-01-18",38219796
"2019-01-19",38227966.1
"2019-01-20",38235970.52
"2019-01-21",38248903.52
"2019-01-22",38257232.5
"2019-01-23",38264031.98
"2019-01-24",38275516.33
"2019-01-25",38284036.1
"2019-01-26",38302803.76
"2019-01-27",38322264.36
"2019-01-28",38340132.75
"2019-01-29",38347342.29
"2019-01-30",39212799.34
"2019-01-31",39221357.55
"2019-02-01",39230636.79
"2019-02-02",39237768.62
"2019-02-03",39249674.46
"2019-02-04",39253757.02
"2019-02-05",39258745.7
"2019-02-06",39268898.15
"2019-02-07",39278435.04
"2019-02-08",39284959.17
"2019-02-09",39297622.36
"2019-02-10",39308017.67
"2019-02-11",39317395.08
"2019-02-12",39323535.82
"2019-02-13",39331794.6
"2019-02-14",39339109.66
"2019-02-15",39347465.27
"2019-02-16",39355102.34
"2019-02-17",39373195.06
"2019-02-18",39385434.96
"2019-02-19",39392268.47
"2019-02-20",39413358.78
"2019-02-21",39432631.67
"2019-02-22",39439962.32
"2019-02-23",39449994.34
"2019-02-24",39461648.94
"2019-02-25",39468295.59
"2019-02-26",39477979.85
"2019-02-27",39488500.3
"2019-02-28",39494907.28
"2019-03-01",39510148.24
"2019-03-02",39542217.53
"2019-03-03",39558995.26
"2019-03-04",39588011.42
"2019-03-05",39604115.28
"2019-03-06",39625236.6
"2019-03-07",39653242.46
"2019-03-08",39676730.49
"2019-03-09",39692429.19
"2019-03-10",39710820.82
"2019-03-11",39723441.03
"2019-03-12",39736241.74
"2019-03-13",39749445.57
"2019-03-14",39760571.13
"2019-03-15",39772862.84
"2019-03-16",39790737.79
"2019-03-17",39802877.44
"2019-03-18",39837137.1
"2019-03-19",39859524.48
"2019-03-20",39875509.24
"2019-03-21",39894470.93
"2019-03-22",39922623.69
"2019-03-23",39959979.63
"2019-03-24",39981319.09
"2019-03-25",39998801.35
"2019-03-26",40023496.11
"2019-03-27",40035347.35
"2019-03-28",40053365.28
"2019-03-29",40115193.44
"2019-03-30",40137159.56
"2019-03-31",40161568.53
"2019-04-01",40189992.92
"2019-04-02",40223010.59
"2019-04-03",40234504.83
"2019-04-04",40262127.32
"2019-04-05",40280482.99
"2019-04-06",40291366.59
"2019-04-07",40321166.73
"2019-04-08",40331769.24
"2019-04-09",40342375.1
"2019-04-10",40356076.05
"2019-04-11",40372310.68
"2019-04-12",40405053.39
"2019-04-13",40421993.25
"2019-04-14",40436436.45
"2019-04-15",40466149.53
"2019-04-16",40490204.11
"2019-04-17",40505747.92
"2019-04-18",40516313.77
"2019-04-19",40529199.12
"2019-04-20",40542834.74
"2019-04-21",40555226.32
"2019-04-22",40570345.8
"2019-04-23",40584545.53
"2019-04-24",40624449.2
"2019-04-25",40634277.04
"2019-04-26",40643624.55
"2019-04-27",40654523.47
"2019-04-28",40664046.45
"2019-04-29",40673307.95
"2019-04-30",40860319.86
"2019-05-01",40877990.95
"2019-05-02",40887337.21
"2019-05-03",40899218.45
"2019-05-04",40913155.52
"2019-05-05",40928054.41
"2019-05-06",40936807.45
"2019-05-07",40943758.65
"2019-05-08",40963847.85
"2019-05-09",40976517.54
"2019-05-10",41014783.45
"2019-05-11",41027780.85
"2019-05-12",41041859.61
"2019-05-13",41063306.9
"2019-05-14",41072165.74
"2019-05-15",41081685.61
"2019-05-16",41088695.99
"2019-05-17",41130996.31
"2019-05-18",41201500.84
"2019-05-19",41248034.22
"2019-05-20",41291266.35
"2019-05-21",41326008.39
"2019-05-22",41352116.4
"2019-05-23",41385165.78
"2019-05-24",41420812.33
"2019-05-25",41463352.19
"2019-05-26",41480506.43
"2019-05-27",41617254.33
"2019-05-28",41639347.02
"2019-05-29",41653468.22
"2019-05-30",41671047.24
"2019-05-31",41692797.51
"2019-06-01",41701895.61
"2019-06-02",41719844.17
"2019-06-03",41737154.96
"2019-06-04",41744381
"2019-06-05",41751461.38
"2019-06-06",41758683.21
"2019-06-07",41782850.38
"2019-06-08",41795291.59
"2019-06-09",41813628.5
"2019-06-10",41820434.48
"2019-06-11",41836376.51
"2019-06-12",41871006.56
"2019-06-13",41892080.58
