"Date","Secondary Sales USD"
"2020-02-18",53053360.79
"2020-02-19",53143103.85
"2020-02-20",53223599.45
"2020-02-21",53375451.04
"2020-02-22",53465667.92
"2020-02-23",53553824.8
"2020-02-24",53669600.43
"2020-02-25",53766054.73
"2020-02-26",53847595.38
"2020-02-27",53919402.32
"2020-02-28",54006740.03
"2020-02-29",54050979.39
"2020-03-01",54154424.56
"2020-03-02",54277793.02
"2020-03-03",54372812.83
"2020-03-04",54431674.69
"2020-03-05",54484922.81
"2020-03-06",54544529.77
"2020-03-07",54594123.1
"2020-03-08",54660332.61
"2020-03-09",54700234.44
"2020-03-10",54757779.09
"2020-03-11",54817085.95
"2020-03-12",54850103.38
"2020-03-13",54891782.33
"2020-03-14",54922446.97
"2020-03-15",54951177.2
"2020-03-16",54979917.09
"2020-03-17",55027440.05
"2020-03-18",55059865.11
"2020-03-19",55142217.69
"2020-03-20",55174363.35
"2020-03-21",55212562.18
"2020-03-22",55238556.16
"2020-03-23",55276132.91
"2020-03-24",55329621.85
"2020-03-25",55365867.98
"2020-03-26",55420709.09
"2020-03-27",55455540.78
"2020-03-28",55504913.9
"2020-03-29",55532382.58
"2020-03-30",55580384.76
"2020-03-31",55642844.34
"2020-04-01",55671913.19
"2020-04-02",55699222.92
"2020-04-03",55732603.33
"2020-04-04",55792219.64
"2020-04-05",55834106.98
"2020-04-06",55870268.85
"2020-04-07",55937795.48
"2020-04-08",55997679.4
"2020-04-09",56030653.74
"2020-04-10",56154706.32
"2020-04-11",56190660.88
"2020-04-12",56221566.04
"2020-04-13",56267332.81
"2020-04-14",56303674.02
"2020-04-15",56344395.9
"2020-04-16",56411336.51
"2020-04-17",56455201.04
"2020-04-18",56540833.53
"2020-04-19",56582708.5
"2020-04-20",56614644.72
"2020-04-21",56694601.28
"2020-04-22",56749366.12
"2020-04-23",56818547.04
"2020-04-24",56854362.35
"2020-04-25",56912398.14
"2020-04-26",56997550.93
"2020-04-27",57058471.95
"2020-04-28",57096240.62
"2020-04-29",57145245.94
"2020-04-30",57221327.79
"2020-05-01",57298880.08
"2020-05-02",57363010.11
"2020-05-03",57412030.31
"2020-05-04",57446092.06
"2020-05-05",57477558.25
"2020-05-06",57511267.05
"2020-05-07",57539067.12
"2020-05-08",57564074.68
"2020-05-09",57604917.62
"2020-05-10",57628494.45
"2020-05-11",57652013.59
"2020-05-12",57671697.72
"2020-05-13",57700970.71
"2020-05-14",57741161.22
"2020-05-15",57775803.95
"2020-05-16",57810617.94
"2020-05-17",57842957.54
"2020-05-18",57892660.65
"2020-05-19",57917555.66
"2020-05-20",57970990.31
"2020-05-21",58028367.03
"2020-05-22",58069146.72
"2020-05-23",58123173.93
"2020-05-24",58243858.9
"2020-05-25",58269188.9
"2020-05-26",58316882.01
"2020-05-27",58363243.79
"2020-05-28",58413354.56
"2020-05-29",58445656.27
"2020-05-30",58470262.15
"2020-05-31",58507613.87
"2020-06-01",58575169.16
"2020-06-02",58628014.17
"2020-06-03",58670027.94
"2020-06-04",58733757.99
"2020-06-05",58760786.47
"2020-06-06",58802251.84
"2020-06-07",58828997.31
"2020-06-08",58859522.58
"2020-06-09",58910231.08
"2020-06-10",58945628.44
"2020-06-11",58985995.2
"2020-06-12",59009992.38
"2020-06-13",59079695.2
"2020-06-14",59137606.02
"2020-06-15",59192481.53
"2020-06-16",59227832.02
"2020-06-17",59256230.27
"2020-06-18",59324674.14
"2020-06-19",59379764.98
"2020-06-20",59400306.38
"2020-06-21",59427730.24
"2020-06-22",59465212.54
"2020-06-23",59489879.35
"2020-06-24",59512688.75
"2020-06-25",59542687.23
"2020-06-26",59567846.32
"2020-06-27",59583098.85
"2020-06-28",59612373.36
"2020-06-29",59651124.81
"2020-06-30",59699648
"2020-07-01",59759855.67
"2020-07-02",59791420.43
"2020-07-03",59821290.25
"2020-07-04",59863440.84
"2020-07-05",59895751.53
"2020-07-06",59931939.08
"2020-07-07",59963423
"2020-07-08",60021870.59
"2020-07-09",60083301.31
"2020-07-10",60152504.56
"2020-07-11",60242066.21
"2020-07-12",60294113.17
"2020-07-13",60354799.03
"2020-07-14",60433211.94
"2020-07-15",60484179.35
"2020-07-16",60530396.92
"2020-07-17",60570166.23
"2020-07-18",60599025.19
"2020-07-19",60673032.9
"2020-07-20",60726186.13
"2020-07-21",60759818.74
"2020-07-22",60840759.31
"2020-07-23",60871061.98
"2020-07-24",60918172.68
"2020-07-25",60961111.43
"2020-07-26",61021833.55
"2020-07-27",61085786.8
"2020-07-28",61123131.53
"2020-07-29",61198443.46
"2020-07-30",61273662.24
"2020-07-31",61305104.88
"2020-08-01",61345385.12
"2020-08-02",61379089.9
"2020-08-03",61438945.74
"2020-08-04",61575839.91
"2020-08-05",61615742.43
"2020-08-06",61683675.59
"2020-08-07",61742559.82
"2020-08-08",61835632
"2020-08-09",61919333.09
"2020-08-10",61958661.74
"2020-08-11",62007330.85
"2020-08-12",62052039.82
"2020-08-13",62101865.13
"2020-08-14",62159052.86
"2020-08-15",62190160.39
"2020-08-16",62241282.13
"2020-08-17",62270478.37
"2020-08-18",62374437.67
"2020-08-19",62420205.63
"2020-08-20",62468161.2
"2020-08-21",62520064.36
"2020-08-22",62576324.19
"2020-08-23",62694375.53
"2020-08-24",62743168.85
"2020-08-25",62791744.9
"2020-08-26",62833303.12
"2020-08-27",62891546.58
"2020-08-28",62944666.08
"2020-08-29",62974960.41
"2020-08-30",63017780.11
"2020-08-31",63054275.34
"2020-09-01",63081965.54
"2020-09-02",63100188.07
"2020-09-03",63137743.09
"2020-09-04",63208732.6
"2020-09-05",63230625.45
"2020-09-06",63331146.55
"2020-09-07",63378772.06
"2020-09-08",63411771.54
"2020-09-09",63458332.05
"2020-09-10",63509944.49
"2020-09-11",63615024.31
"2020-09-12",63716757.51
"2020-09-13",63830411.17
"2020-09-14",63997573.05
"2020-09-15",64243530.11
"2020-09-16",64308602.06
"2020-09-17",64390885.69
"2020-09-18",64533963.59
"2020-09-19",64675893.37
"2020-09-20",64833167.23
"2020-09-21",64965129.6
"2020-09-22",65174445.85
"2020-09-23",65435660.11
"2020-09-24",65940913.65
"2020-09-25",66316270.94
"2020-09-26",66661929.83
"2020-09-27",67056814.53
"2020-09-28",67876563.74
"2020-09-29",68266935.15
"2020-09-30",68508397.57
"2020-10-01",68720404.24
"2020-10-02",68920901.34
"2020-10-03",69225831.77
"2020-10-04",69488485.43
"2020-10-05",69697047.45
"2020-10-06",69896777.28
"2020-10-07",70117691.52
"2020-10-08",70368618.28
"2020-10-09",70577876.97
"2020-10-10",70727941.85
"2020-10-11",70915014.41
"2020-10-12",71085425.69
"2020-10-13",71190923.57
"2020-10-14",71355921.55
"2020-10-15",71660964.73
"2020-10-16",71798328.72
"2020-10-17",71954792.79
"2020-10-18",72097840.47
"2020-10-19",72408770.89
"2020-10-20",72516260.81
"2020-10-21",72639671.24
"2020-10-22",72897900.86
"2020-10-23",73016373.09
"2020-10-24",73148754.32
"2020-10-25",73357472.76
"2020-10-26",73525180.4
"2020-10-27",73599852.7
"2020-10-28",73691163.51
"2020-10-29",73800217.49
"2020-10-30",73900829.14
"2020-10-31",74006215.62
"2020-11-01",74164218.33
"2020-11-02",74233236.62
"2020-11-03",74314437.34
"2020-11-04",74384651.5
"2020-11-05",74463023.24
"2020-11-06",74689675.66
"2020-11-07",74852007.05
"2020-11-08",74940169.58
"2020-11-09",75032565.02
"2020-11-10",75157830.6
"2020-11-11",75266239.15
"2020-11-12",75453410
"2020-11-13",75707193.27
"2020-11-14",75876217.66
"2020-11-15",76055326.89
"2020-11-16",76214022.3
"2020-11-17",76325014.67
"2020-11-18",76462264.88
"2020-11-19",76606005.64
"2020-11-20",76723702.57
"2020-11-21",76909543.4
"2020-11-22",77030062.81
"2020-11-23",77225824.3
"2020-11-24",77324094.1
"2020-11-25",77398011.29
"2020-11-26",77482547.52
"2020-11-27",77575066.94
"2020-11-28",77684424.01
"2020-11-29",77780876.39
"2020-11-30",77912089.49
"2020-12-01",77968249.69
"2020-12-02",78052416.79
"2020-12-03",78124498.7
"2020-12-04",78239444.35
"2020-12-05",78368873.57
"2020-12-06",78504278.87
"2020-12-07",78589818.74
"2020-12-08",78742444.47
"2020-12-09",78803540.18
"2020-12-10",78856512.75
"2020-12-11",78944385.57
"2020-12-12",79058719.99
"2020-12-13",79217354.71
"2020-12-14",79331340.37
"2020-12-15",79423323.12
"2020-12-16",79495469.72
"2020-12-17",79587129.47
"2020-12-18",79683379.48
"2020-12-19",79782936.33
"2020-12-20",79893581.84
"2020-12-21",80085860.27
"2020-12-22",80395800.48
"2020-12-23",80540557.06
"2020-12-24",80716582.74
"2020-12-25",80973100.13
"2020-12-26",81133402
"2020-12-27",81345631.97
"2020-12-28",81443395.09
"2020-12-29",81543939.85
"2020-12-30",81774215.44
"2020-12-31",81863932.14
"2021-01-01",82014658.28
"2021-01-02",82130551.75
"2021-01-03",82302593.24
"2021-01-04",82491740.95
"2021-01-05",82919178.77
"2021-01-06",83576746.5
"2021-01-07",83878701.56
"2021-01-08",84173686.41
"2021-01-09",84438392.42
"2021-01-10",84923974.11
