"Date","Unique Sellers"
"2019-09-22",53131
"2019-09-23",53155
"2019-09-24",53186
"2019-09-25",53220
"2019-09-26",53248
"2019-09-27",53291
"2019-09-28",53323
"2019-09-29",53334
"2019-09-30",53359
"2019-10-01",53418
"2019-10-02",53449
"2019-10-03",53458
"2019-10-04",53484
"2019-10-05",53532
"2019-10-06",53586
"2019-10-07",53606
"2019-10-08",53648
"2019-10-09",53710
"2019-10-10",53736
"2019-10-11",53777
"2019-10-12",53805
"2019-10-13",53846
"2019-10-14",53863
"2019-10-15",53899
"2019-10-16",53951
"2019-10-17",53993
"2019-10-18",54058
"2019-10-19",54099
"2019-10-20",54151
"2019-10-21",54174
"2019-10-22",54252
"2019-10-23",54299
"2019-10-24",54338
"2019-10-25",54372
"2019-10-26",54429
"2019-10-27",54505
"2019-10-28",54539
"2019-10-29",54590
"2019-10-30",54644
"2019-10-31",54675
"2019-11-01",54690
"2019-11-02",54744
"2019-11-03",54800
"2019-11-04",54849
"2019-11-05",54919
"2019-11-06",54941
"2019-11-07",54977
"2019-11-08",55009
"2019-11-09",55057
"2019-11-10",55108
"2019-11-11",55154
"2019-11-12",55209
"2019-11-13",55249
"2019-11-14",55286
"2019-11-15",55349
"2019-11-16",55396
"2019-11-17",55436
"2019-11-18",55475
"2019-11-19",55579
"2019-11-20",55675
"2019-11-21",55750
"2019-11-22",55992
"2019-11-23",56167
"2019-11-24",56269
"2019-11-25",56376
"2019-11-26",56486
"2019-11-27",56586
"2019-11-28",56693
"2019-11-29",56760
"2019-11-30",56869
"2019-12-01",56964
"2019-12-02",57033
"2019-12-03",57110
"2019-12-04",57133
"2019-12-05",57226
"2019-12-06",57263
"2019-12-07",57319
"2019-12-08",57408
"2019-12-09",57485
"2019-12-10",57558
"2019-12-11",57598
"2019-12-12",57699
"2019-12-13",57760
"2019-12-14",57862
"2019-12-15",57907
"2019-12-16",57978
"2019-12-17",58045
"2019-12-18",58102
"2019-12-19",58145
"2019-12-20",58191
"2019-12-21",58216
"2019-12-22",58269
"2019-12-23",58327
"2019-12-24",58356
"2019-12-25",58409
"2019-12-26",58498
"2019-12-27",58548
"2019-12-28",58609
"2019-12-29",58625
"2019-12-30",58676
"2019-12-31",58764
"2020-01-01",58807
"2020-01-02",58854
"2020-01-03",58953
"2020-01-04",59051
"2020-01-05",59106
"2020-01-06",59180
"2020-01-07",59253
"2020-01-08",59284
"2020-01-09",59324
"2020-01-10",59393
"2020-01-11",59507
"2020-01-12",59567
"2020-01-13",59611
"2020-01-14",59693
"2020-01-15",59758
"2020-01-16",59790
"2020-01-17",59848
"2020-01-18",59935
"2020-01-19",59991
"2020-01-20",60052
"2020-01-21",60120
"2020-01-22",60207
"2020-01-23",60300
"2020-01-24",60344
"2020-01-25",60380
"2020-01-26",60434
"2020-01-27",60478
"2020-01-28",60554
"2020-01-29",60610
"2020-01-30",60692
"2020-01-31",60724
"2020-02-01",60765
"2020-02-02",60799
"2020-02-03",60859
"2020-02-04",60892
"2020-02-05",60964
"2020-02-06",61036
"2020-02-07",61084
"2020-02-08",61141
"2020-02-09",61225
"2020-02-10",61283
"2020-02-11",61315
"2020-02-12",61358
"2020-02-13",61373
"2020-02-14",61412
"2020-02-15",61487
"2020-02-16",61527
"2020-02-17",61640
"2020-02-18",61708
"2020-02-19",61732
"2020-02-20",61817
"2020-02-21",61953
"2020-02-22",62128
"2020-02-23",62281
"2020-02-24",62485
"2020-02-25",62601
"2020-02-26",62699
"2020-02-27",62826
"2020-02-28",63258
"2020-02-29",63394
"2020-03-01",63506
"2020-03-02",63562
"2020-03-03",63610
"2020-03-04",63697
"2020-03-05",63755
"2020-03-06",63817
"2020-03-07",63933
"2020-03-08",64021
"2020-03-09",64065
"2020-03-10",64219
"2020-03-11",64282
"2020-03-12",64312
"2020-03-13",64353
"2020-03-14",64391
"2020-03-15",64479
"2020-03-16",64520
"2020-03-17",64544
"2020-03-18",64621
"2020-03-19",64636
"2020-03-20",64723
"2020-03-21",64791
"2020-03-22",64805
"2020-03-23",64870
"2020-03-24",64945
"2020-03-25",65014
"2020-03-26",65028
"2020-03-27",65124
"2020-03-28",65171
"2020-03-29",65230
"2020-03-30",65275
"2020-03-31",65360
"2020-04-01",65395
"2020-04-02",65460
"2020-04-03",65524
"2020-04-04",65586
"2020-04-05",65633
"2020-04-06",65698
"2020-04-07",65772
"2020-04-08",65839
"2020-04-09",65911
"2020-04-10",65975
"2020-04-11",66034
"2020-04-12",66072
"2020-04-13",66130
"2020-04-14",66179
"2020-04-15",66225
"2020-04-16",66316
"2020-04-17",66368
"2020-04-18",66483
"2020-04-19",66539
"2020-04-20",66576
"2020-04-21",66635
"2020-04-22",66698
"2020-04-23",66804
"2020-04-24",66850
"2020-04-25",66894
"2020-04-26",66927
"2020-04-27",66993
"2020-04-28",67046
"2020-04-29",67074
"2020-04-30",67097
"2020-05-01",67121
"2020-05-02",67222
"2020-05-03",67262
"2020-05-04",67356
"2020-05-05",67405
"2020-05-06",67450
"2020-05-07",67471
"2020-05-08",67523
"2020-05-09",67554
"2020-05-10",67612
"2020-05-11",67615
"2020-05-12",67661
"2020-05-13",67661
"2020-05-14",67685
"2020-05-15",67695
"2020-05-16",67772
"2020-05-17",67883
"2020-05-18",67960
"2020-05-19",68030
"2020-05-20",68063
"2020-05-21",68100
"2020-05-22",68158
"2020-05-23",68263
"2020-05-24",68323
"2020-05-25",68346
"2020-05-26",68434
"2020-05-27",68445
"2020-05-28",68452
"2020-05-29",68492
"2020-05-30",68501
"2020-05-31",68515
"2020-06-01",68542
"2020-06-02",68567
"2020-06-03",68593
"2020-06-04",68607
"2020-06-05",68629
"2020-06-06",68675
"2020-06-07",68680
"2020-06-08",68689
"2020-06-09",68696
"2020-06-10",68711
"2020-06-11",68768
"2020-06-12",68781
"2020-06-13",68816
"2020-06-14",68886
"2020-06-15",68934
"2020-06-16",68966
"2020-06-17",68995
"2020-06-18",69017
"2020-06-19",69024
"2020-06-20",69064
"2020-06-21",69074
"2020-06-22",69081
"2020-06-23",69105
"2020-06-24",69140
"2020-06-25",69177
"2020-06-26",69196
"2020-06-27",69235
"2020-06-28",69253
"2020-06-29",69286
"2020-06-30",69303
"2020-07-01",69319
"2020-07-02",69384
"2020-07-03",69427
"2020-07-04",69456
"2020-07-05",69493
"2020-07-06",69543
"2020-07-07",69561
"2020-07-08",69604
"2020-07-09",69622
"2020-07-10",69640
"2020-07-11",69643
"2020-07-12",69688
"2020-07-13",69711
"2020-07-14",69718
"2020-07-15",69718
"2020-07-16",69738
"2020-07-17",69754
"2020-07-18",69772
"2020-07-19",69785
"2020-07-20",69793
"2020-07-21",69813
"2020-07-22",69828
"2020-07-23",69864
"2020-07-24",69926
"2020-07-25",69926
"2020-07-26",69936
"2020-07-27",69949
"2020-07-28",69970
"2020-07-29",70029
"2020-07-30",70061
"2020-07-31",70082
"2020-08-01",70132
"2020-08-02",70171
"2020-08-03",70210
"2020-08-04",70225
"2020-08-05",70252
"2020-08-06",70281
"2020-08-07",70335
"2020-08-08",70365
"2020-08-09",70366
"2020-08-10",70383
"2020-08-11",70436
"2020-08-12",70486
"2020-08-13",70493
"2020-08-14",70565
"2020-08-15",70625
"2020-08-16",70642
"2020-08-17",70660
"2020-08-18",70719
"2020-08-19",70742
"2020-08-20",70777
"2020-08-21",70805
"2020-08-22",70837
"2020-08-23",70838
"2020-08-24",70895
"2020-08-25",70921
"2020-08-26",70947
"2020-08-27",70960
"2020-08-28",71007
"2020-08-29",71022
"2020-08-30",71030
"2020-08-31",71049
"2020-09-01",71080
"2020-09-02",71083
"2020-09-03",71086
"2020-09-04",71097
"2020-09-05",71113
"2020-09-06",71151
"2020-09-07",71161
"2020-09-08",71173
"2020-09-09",71176
"2020-09-10",71222
"2020-09-11",71243
"2020-09-12",71284
"2020-09-13",71318
"2020-09-14",71375
"2020-09-15",71412
"2020-09-16",71465
"2020-09-17",71465
"2020-09-18",71522
"2020-09-19",71559
"2020-09-20",71608
"2020-09-21",71696
"2020-09-22",71729
"2020-09-23",71990
"2020-09-24",72127
"2020-09-25",72227
"2020-09-26",72340
"2020-09-27",72426
"2020-09-28",72535
"2020-09-29",72617
"2020-09-30",72721
"2020-10-01",72735
"2020-10-02",72843
"2020-10-03",72918
"2020-10-04",72996
"2020-10-05",73156
"2020-10-06",73261
"2020-10-07",73383
"2020-10-08",73443
"2020-10-09",73514
"2020-10-10",73584
"2020-10-11",73661
"2020-10-12",73717
"2020-10-13",73762
"2020-10-14",73831
"2020-10-15",73894
"2020-10-16",73987
"2020-10-17",74155
"2020-10-18",74253
"2020-10-19",74291
"2020-10-20",74380
"2020-10-21",74430
"2020-10-22",74495
"2020-10-23",74582
"2020-10-24",74724
"2020-10-25",74813
"2020-10-26",74923
"2020-10-27",74962
"2020-10-28",75024
"2020-10-29",75115
"2020-10-30",75196
"2020-10-31",75330
"2020-11-01",75431
"2020-11-02",75515
"2020-11-03",75612
"2020-11-04",75674
"2020-11-05",75757
"2020-11-06",75837
"2020-11-07",75872
"2020-11-08",75984
"2020-11-09",76027
"2020-11-10",76164
"2020-11-11",76227
"2020-11-12",76331
"2020-11-13",76384
"2020-11-14",76547
"2020-11-15",76636
"2020-11-16",76757
"2020-11-17",76817
"2020-11-18",76899
"2020-11-19",77023
"2020-11-20",77120
"2020-11-21",77173
"2020-11-22",77273
"2020-11-23",77362
"2020-11-24",77394
"2020-11-25",77544
"2020-11-26",77581
"2020-11-27",77697
"2020-11-28",77782
"2020-11-29",77978
"2020-11-30",78042
"2020-12-01",78122
"2020-12-02",78211
"2020-12-03",78302
"2020-12-04",78367
"2020-12-05",78416
"2020-12-06",78551
"2020-12-07",78594
"2020-12-08",78691
"2020-12-09",78786
"2020-12-10",78873
"2020-12-11",79030
"2020-12-12",79174
"2020-12-13",79343
"2020-12-14",79378
"2020-12-15",79442
"2020-12-16",79504
"2020-12-17",79539
"2020-12-18",79629
"2020-12-19",79812
"2020-12-20",79888
"2020-12-21",79936
"2020-12-22",80027
"2020-12-23",80073
"2020-12-24",80181
