"Date","Sales USD"
"2019-10-02",88145796.3
"2019-10-03",88175768.36
"2019-10-04",88207350.17
"2019-10-05",88226529.85
"2019-10-06",88280539.03
"2019-10-07",88323701.12
"2019-10-08",88364285.47
"2019-10-09",88461006.78
"2019-10-10",88509835.19
"2019-10-11",88537930.19
"2019-10-12",88568089.61
"2019-10-13",88643656.51
"2019-10-14",88755282.8
"2019-10-15",88998732.76
"2019-10-16",89176310.12
"2019-10-17",89327647.35
"2019-10-18",89454289.42
"2019-10-19",89576723.47
"2019-10-20",89849644.02
"2019-10-21",89929265.84
"2019-10-22",90016011.87
"2019-10-23",90082323.58
"2019-10-24",90155154.25
"2019-10-25",90237342.2
"2019-10-26",90326752.36
"2019-10-27",90421657.42
"2019-10-28",90495958.89
"2019-10-29",90562728.09
"2019-10-30",90643159.77
"2019-10-31",90708443.73
"2019-11-01",90758577.74
"2019-11-02",90824799.57
"2019-11-03",90908544.75
"2019-11-04",90967070.56
"2019-11-05",91013926.7
"2019-11-06",91077477.04
"2019-11-07",91148795.83
"2019-11-08",91189487.71
"2019-11-09",91227593.38
"2019-11-10",91290779.85
"2019-11-11",91367524.67
"2019-11-12",91416263.33
"2019-11-13",91457928.64
"2019-11-14",91497900.3
"2019-11-15",91523903.84
"2019-11-16",91545686.28
"2019-11-17",91598530.96
"2019-11-18",91645179.24
"2019-11-19",91689493.93
"2019-11-20",91735977.72
"2019-11-21",91776611.07
"2019-11-22",91914299.14
"2019-11-23",92016828.41
"2019-11-24",92114559.2
"2019-11-25",92195572.51
"2019-11-26",92258470.42
"2019-11-27",92352229.57
"2019-11-28",92430558.71
"2019-11-29",92526089.09
"2019-11-30",92616924.51
"2019-12-01",92702856.02
"2019-12-02",92775026.07
"2019-12-03",92861945.86
"2019-12-04",92933995.87
"2019-12-05",93095526.03
"2019-12-06",93156525.27
"2019-12-07",93215644.44
"2019-12-08",93293421.58
"2019-12-09",93407782.14
"2019-12-10",93495124.51
"2019-12-11",93574467.04
"2019-12-12",93651126.03
"2019-12-13",93700200.73
"2019-12-14",93758987.82
"2019-12-15",93812429.62
"2019-12-16",93881454.61
"2019-12-17",93939442.3
"2019-12-18",94156056.01
"2019-12-19",94264086.77
"2019-12-20",94364832.41
"2019-12-21",94451227.56
"2019-12-22",94512009.75
"2019-12-23",94587852.65
"2019-12-24",94657945.76
"2019-12-25",94720802.25
"2019-12-26",94832058.55
"2019-12-27",94912192.71
"2019-12-28",94975815.79
"2019-12-29",95057263.58
"2019-12-30",95115209.09
"2019-12-31",95170200.33
"2020-01-01",95231653.1
"2020-01-02",95299935.62
"2020-01-03",95388945.7
"2020-01-04",95528616.04
"2020-01-05",95603296.25
"2020-01-06",95713085.61
"2020-01-07",95817124.97
"2020-01-08",95900370.37
"2020-01-09",95955803.33
"2020-01-10",96020044.75
"2020-01-11",96097846.61
"2020-01-12",96156731.24
"2020-01-13",96230048.83
"2020-01-14",96311858.33
"2020-01-15",96374083.12
