"Date","Active Market Wallets"
"2019-08-19",121246
"2019-08-20",121461
"2019-08-21",121560
"2019-08-22",121656
"2019-08-23",121710
"2019-08-24",121854
"2019-08-25",121908
"2019-08-26",122151
"2019-08-27",122186
"2019-08-28",122297
"2019-08-29",122426
"2019-08-30",122509
"2019-08-31",122599
"2019-09-01",122693
"2019-09-02",122727
"2019-09-03",122777
"2019-09-04",122859
"2019-09-05",122915
"2019-09-06",122967
"2019-09-07",122993
"2019-09-08",123091
"2019-09-09",123116
"2019-09-10",123293
"2019-09-11",123388
"2019-09-12",123486
"2019-09-13",123562
"2019-09-14",123623
"2019-09-15",123659
"2019-09-16",123778
"2019-09-17",123805
"2019-09-18",123809
"2019-09-19",123866
"2019-09-20",123950
"2019-09-21",123998
"2019-09-22",124058
"2019-09-23",124108
"2019-09-24",124118
"2019-09-25",124145
"2019-09-26",124163
"2019-09-27",124170
"2019-09-28",124225
"2019-09-29",124339
"2019-09-30",124462
"2019-10-01",124535
"2019-10-02",124613
"2019-10-03",124710
"2019-10-04",124775
"2019-10-05",124808
"2019-10-06",124847
"2019-10-07",124877
"2019-10-08",124967
"2019-10-09",125059
"2019-10-10",125137
"2019-10-11",125282
"2019-10-12",125351
"2019-10-13",125499
"2019-10-14",125592
"2019-10-15",125662
"2019-10-16",125832
"2019-10-17",126024
"2019-10-18",126193
"2019-10-19",126333
"2019-10-20",126535
"2019-10-21",126619
"2019-10-22",126710
"2019-10-23",126802
"2019-10-24",126914
"2019-10-25",127042
"2019-10-26",127174
"2019-10-27",127370
"2019-10-28",127419
"2019-10-29",127563
"2019-10-30",127635
"2019-10-31",127664
"2019-11-01",127812
"2019-11-02",127923
"2019-11-03",128010
"2019-11-04",128234
"2019-11-05",128409
"2019-11-06",128481
"2019-11-07",128659
"2019-11-08",128786
"2019-11-09",129014
"2019-11-10",129139
"2019-11-11",129523
"2019-11-12",129977
"2019-11-13",130335
"2019-11-14",130487
"2019-11-15",130708
"2019-11-16",130830
"2019-11-17",130910
"2019-11-18",131051
"2019-11-19",131250
"2019-11-20",131531
"2019-11-21",131716
"2019-11-22",132218
"2019-11-23",132425
"2019-11-24",132574
"2019-11-25",132739
"2019-11-26",132902
"2019-11-27",133068
"2019-11-28",133182
"2019-11-29",133287
"2019-11-30",133413
"2019-12-01",133492
"2019-12-02",133705
"2019-12-03",133898
"2019-12-04",134009
"2019-12-05",134226
"2019-12-06",134291
"2019-12-07",134352
"2019-12-08",134487
"2019-12-09",134563
"2019-12-10",134660
"2019-12-11",134764
"2019-12-12",134916
"2019-12-13",135035
"2019-12-14",135165
"2019-12-15",135274
"2019-12-16",135368
"2019-12-17",135455
"2019-12-18",135625
"2019-12-19",135825
"2019-12-20",135889
"2019-12-21",136026
"2019-12-22",136127
"2019-12-23",136223
"2019-12-24",136340
"2019-12-25",136397
"2019-12-26",136462
"2019-12-27",136517
"2019-12-28",136678
"2019-12-29",136826
"2019-12-30",136985
"2019-12-31",137083
"2020-01-01",137176
"2020-01-02",137251
"2020-01-03",137398
"2020-01-04",137514
"2020-01-05",137631
"2020-01-06",137787
"2020-01-07",138036
"2020-01-08",138098
"2020-01-09",138196
"2020-01-10",138294
"2020-01-11",138410
"2020-01-12",138491
"2020-01-13",138573
"2020-01-14",138693
"2020-01-15",138805
"2020-01-16",138883
"2020-01-17",138973
"2020-01-18",139081
"2020-01-19",139160
"2020-01-20",139285
"2020-01-21",139398
"2020-01-22",139486
"2020-01-23",139656
"2020-01-24",139775
"2020-01-25",139864
"2020-01-26",139946
"2020-01-27",140022
"2020-01-28",140110
"2020-01-29",140285
"2020-01-30",140334
"2020-01-31",140404
"2020-02-01",140488
"2020-02-02",140531
"2020-02-03",140606
"2020-02-04",140702
"2020-02-05",140771
"2020-02-06",140911
"2020-02-07",141013
"2020-02-08",141114
"2020-02-09",141161
"2020-02-10",141300
"2020-02-11",141981
"2020-02-12",142464
"2020-02-13",143005
"2020-02-14",143274
"2020-02-15",143516
"2020-02-16",143829
"2020-02-17",144173
"2020-02-18",144857
"2020-02-19",145428
"2020-02-20",146081
"2020-02-21",146403
"2020-02-22",146839
"2020-02-23",147079
"2020-02-24",147294
"2020-02-25",147474
"2020-02-26",147698
"2020-02-27",147994
"2020-02-28",148843
"2020-02-29",149068
"2020-03-01",149262
"2020-03-02",149495
"2020-03-03",149738
"2020-03-04",150071
"2020-03-05",150325
"2020-03-06",150430
"2020-03-07",150569
"2020-03-08",150639
"2020-03-09",150736
"2020-03-10",150946
"2020-03-11",150993
"2020-03-12",151070
"2020-03-13",151157
"2020-03-14",151299
"2020-03-15",151428
"2020-03-16",151456
"2020-03-17",151536
"2020-03-18",151617
"2020-03-19",151703
"2020-03-20",151833
"2020-03-21",151928
"2020-03-22",152097
"2020-03-23",152255
"2020-03-24",152452
"2020-03-25",152631
"2020-03-26",152758
"2020-03-27",152987
"2020-03-28",153078
"2020-03-29",153126
"2020-03-30",153392
"2020-03-31",153716
"2020-04-01",153924
"2020-04-02",154057
"2020-04-03",154255
"2020-04-04",154393
"2020-04-05",154626
"2020-04-06",154738
"2020-04-07",154776
"2020-04-08",154932
"2020-04-09",155000
"2020-04-10",155175
"2020-04-11",155329
"2020-04-12",155492
"2020-04-13",155643
"2020-04-14",155788
"2020-04-15",155925
"2020-04-16",156100
"2020-04-17",156318
"2020-04-18",156458
"2020-04-19",156589
"2020-04-20",156620
"2020-04-21",156864
"2020-04-22",156950
"2020-04-23",157077
"2020-04-24",157278
"2020-04-25",157395
"2020-04-26",157459
"2020-04-27",157615
"2020-04-28",157669
"2020-04-29",157744
"2020-04-30",157827
"2020-05-01",157934
"2020-05-02",158112
"2020-05-03",158221
"2020-05-04",158330
"2020-05-05",158754
"2020-05-06",159005
"2020-05-07",159140
"2020-05-08",159234
"2020-05-09",159357
"2020-05-10",159480
"2020-05-11",159638
"2020-05-12",159834
"2020-05-13",159922
"2020-05-14",160055
"2020-05-15",160224
"2020-05-16",160420
"2020-05-17",160652
"2020-05-18",160787
"2020-05-19",160979
"2020-05-20",161096
"2020-05-21",161195
"2020-05-22",161365
"2020-05-23",161574
"2020-05-24",161767
"2020-05-25",162022
"2020-05-26",162112
