"Date","Unique Buyers"
"2020-03-02",139365
"2020-03-03",139582
"2020-03-04",139753
"2020-03-05",139907
"2020-03-06",139970
"2020-03-07",140063
"2020-03-08",140107
"2020-03-09",140154
"2020-03-10",140280
"2020-03-11",140309
"2020-03-12",140366
"2020-03-13",140432
"2020-03-14",140535
"2020-03-15",140613
"2020-03-16",140637
"2020-03-17",140707
"2020-03-18",140788
"2020-03-19",140875
"2020-03-20",140984
"2020-03-21",141033
"2020-03-22",141188
"2020-03-23",141291
"2020-03-24",141404
"2020-03-25",141579
"2020-03-26",141688
"2020-03-27",141809
"2020-03-28",141864
"2020-03-29",141904
"2020-03-30",142139
"2020-03-31",142484
"2020-04-01",142666
"2020-04-02",142810
"2020-04-03",142976
"2020-04-04",143112
"2020-04-05",143307
"2020-04-06",143400
"2020-04-07",143473
"2020-04-08",143574
"2020-04-09",143625
"2020-04-10",143735
"2020-04-11",143868
"2020-04-12",144033
"2020-04-13",144146
"2020-04-14",144252
"2020-04-15",144339
"2020-04-16",144483
"2020-04-17",144637
"2020-04-18",144783
"2020-04-19",144908
"2020-04-20",144929
"2020-04-21",145117
"2020-04-22",145211
"2020-04-23",145307
"2020-04-24",145426
"2020-04-25",145510
"2020-04-26",145565
"2020-04-27",145652
"2020-04-28",145698
"2020-04-29",145758
"2020-04-30",145851
"2020-05-01",145922
"2020-05-02",146035
"2020-05-03",146128
"2020-05-04",146200
"2020-05-05",146468
"2020-05-06",146667
"2020-05-07",146807
"2020-05-08",146915
"2020-05-09",147027
"2020-05-10",147131
"2020-05-11",147308
"2020-05-12",147446
"2020-05-13",147599
"2020-05-14",147719
"2020-05-15",147891
"2020-05-16",148078
"2020-05-17",148283
"2020-05-18",148435
"2020-05-19",148593
"2020-05-20",148718
"2020-05-21",148786
"2020-05-22",149032
"2020-05-23",149153
"2020-05-24",149353
"2020-05-25",149574
"2020-05-26",149680
"2020-05-27",149736
"2020-05-28",149910
"2020-05-29",149975
"2020-05-30",150106
"2020-05-31",150270
"2020-06-01",150394
"2020-06-02",150463
"2020-06-03",150542
"2020-06-04",150629
"2020-06-05",150727
"2020-06-06",150830
"2020-06-07",150953
"2020-06-08",151090
"2020-06-09",151154
"2020-06-10",151206
"2020-06-11",151468
"2020-06-12",151540
"2020-06-13",151760
"2020-06-14",151897
"2020-06-15",151983
"2020-06-16",152053
"2020-06-17",152130
"2020-06-18",152270
"2020-06-19",152374
"2020-06-20",152421
"2020-06-21",152556
"2020-06-22",152593
"2020-06-23",152703
"2020-06-24",152714
"2020-06-25",152956
"2020-06-26",153054
"2020-06-27",153138
"2020-06-28",153273
"2020-06-29",153304
"2020-06-30",153509
"2020-07-01",153636
"2020-07-02",153719
"2020-07-03",153803
"2020-07-04",153933
"2020-07-05",154048
"2020-07-06",154129
"2020-07-07",154270
"2020-07-08",154506
"2020-07-09",154675
"2020-07-10",154723
"2020-07-11",154926
"2020-07-12",155017
"2020-07-13",155106
"2020-07-14",155182
"2020-07-15",155252
"2020-07-16",155471
"2020-07-17",155529
"2020-07-18",155648
"2020-07-19",155722
"2020-07-20",155791
"2020-07-21",155925
"2020-07-22",155948
"2020-07-23",155974
"2020-07-24",156024
"2020-07-25",156054
"2020-07-26",156163
"2020-07-27",156171
"2020-07-28",156283
"2020-07-29",156332
"2020-07-30",156415
"2020-07-31",156509
"2020-08-01",156599
"2020-08-02",156663
"2020-08-03",156739
"2020-08-04",157002
"2020-08-05",157297
"2020-08-06",157531
"2020-08-07",157663
"2020-08-08",157726
"2020-08-09",157831
"2020-08-10",157901
"2020-08-11",157972
"2020-08-12",157992
"2020-08-13",158026
"2020-08-14",158137
"2020-08-15",158279
"2020-08-16",158408
"2020-08-17",158522
"2020-08-18",158652
"2020-08-19",158707
"2020-08-20",158837
"2020-08-21",158886
"2020-08-22",158972
"2020-08-23",159061
"2020-08-24",159135
"2020-08-25",159220
"2020-08-26",159308
"2020-08-27",159437
"2020-08-28",159538
"2020-08-29",159752
"2020-08-30",159873
"2020-08-31",159965
"2020-09-01",160033
"2020-09-02",160062
"2020-09-03",160110
"2020-09-04",160192
"2020-09-05",160258
"2020-09-06",160486
"2020-09-07",160648
"2020-09-08",160787
"2020-09-09",160953
"2020-09-10",161112
"2020-09-11",161262
"2020-09-12",161402
"2020-09-13",161499
"2020-09-14",161522
"2020-09-15",161836
"2020-09-16",162095
"2020-09-17",162292
"2020-09-18",162539
"2020-09-19",162677
"2020-09-20",163020
"2020-09-21",163182
"2020-09-22",163635
"2020-09-23",164115
"2020-09-24",164488
"2020-09-25",164826
"2020-09-26",165279
"2020-09-27",165558
"2020-09-28",165784
"2020-09-29",165980
"2020-09-30",166279
"2020-10-01",166521
"2020-10-02",166906
"2020-10-03",167147
"2020-10-04",167421
"2020-10-05",167708
"2020-10-06",167969
"2020-10-07",168120
"2020-10-08",168414
"2020-10-09",168610
"2020-10-10",168736
"2020-10-11",168986
"2020-10-12",169072
"2020-10-13",169294
"2020-10-14",169699
"2020-10-15",170104
"2020-10-16",170255
"2020-10-17",170494
"2020-10-18",170628
"2020-10-19",170896
"2020-10-20",171061
"2020-10-21",171265
"2020-10-22",171415
"2020-10-23",171567
"2020-10-24",171892
"2020-10-25",172151
"2020-10-26",172381
"2020-10-27",172699
"2020-10-28",172883
"2020-10-29",173160
"2020-10-30",173382
"2020-10-31",173709
"2020-11-01",173930
"2020-11-02",174172
"2020-11-03",174399
"2020-11-04",174569
"2020-11-05",174814
"2020-11-06",174967
"2020-11-07",175178
"2020-11-08",175459
"2020-11-09",175756
"2020-11-10",175983
"2020-11-11",176406
"2020-11-12",177608
"2020-11-13",177796
"2020-11-14",178144
"2020-11-15",178429
"2020-11-16",178756
"2020-11-17",178981
"2020-11-18",179268
"2020-11-19",179571
"2020-11-20",179730
"2020-11-21",180000
"2020-11-22",180465
"2020-11-23",180627
"2020-11-24",180772
"2020-11-25",180875
"2020-11-26",181093
"2020-11-27",181584
"2020-11-28",181942
"2020-11-29",182339
"2020-11-30",182462
"2020-12-01",182622
"2020-12-02",182999
"2020-12-03",183167
"2020-12-04",183411
"2020-12-05",183768
"2020-12-06",183878
"2020-12-07",184076
"2020-12-08",184270
"2020-12-09",184492
"2020-12-10",184730
"2020-12-11",185222
"2020-12-12",185493
"2020-12-13",185732
"2020-12-14",186056
"2020-12-15",186212
"2020-12-16",186468
"2020-12-17",186494
"2020-12-18",186841
"2020-12-19",187110
"2020-12-20",187469
"2020-12-21",187592
"2020-12-22",187821
"2020-12-23",188281
"2020-12-24",188611
